last_name,first_name,terms_elected,2021_Spring_total,2021_Spring_NGO_local,2021_Spring_business,2021_Spring_registered_lobbyists,2021_Spring_trade_unions,2021_Spring_others,Asterisk_2021_Spring,2021_Autumn_total,2021_Autumn_NGO_local,2021_Autumn_business,2021_Autumn_registered_lobbyists,2021_Autumn_trade_unions,2021_Autumn_others,Total_all_periods,End_term,Asterisk_2021_Autumn
Šarknickas,Robertas,2,5,0,0,0,0,5,0,1,0,0,0,0,1,6,,0
Vaitkus,Romualdas ,1,1,0,0,0,0,1,0,3,2,0,0,1,0,4,,0
Miliūtė,	Rūta ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Skvernelis,Saulius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jovaiša,Sergejus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Lengvinienė,Silva,1,2,1,0,1,0,0,0,2,1,0,0,0,1,4,,0
Gentvilas,Simonas,2,34,3,24,0,1,6,9,32,5,18,2,1,7,66,,8
Šedbaras,Stasys,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tumėnas,Stasys,2,15,0,4,0,0,11,1,2,0,1,0,0,1,17,,0
Bičiūnas,Tomas,1,1,0,1,0,0,0,0,2,2,0,0,0,0,3,,0
Tomilinas,Tomas,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,0
	 Raskevičius,Tomas Vytautas,1,6,2,2,0,0,2,0,9,5,1,0,0,3,15,,1
Giraitytė-Juškevičienė,Vaida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Rakutis,Valdas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
 Valkiūnas,        Valdemaras,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bukauskas,Valentinas,5,5,3,2,0,0,0,1,1,1,0,0,0,0,6,,1
Ąžuolas,Valius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kanopa,Vidmantas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jukna,Vigilijus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Fiodorovas,Viktoras,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,0
Pranckietis,Viktoras,2,22,6,9,1,2,4,3,3,0,3,0,0,0,25,,0
Čmilytė-Nielsen,Viktorija,3,32,14,8,0,0,10,3,39,18,4,0,3,14,71,,1
Aleknaitė Abramikienė,Vilija,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
