last_name,first_name,terms_elected,2021_Spring_total,2021_Spring_NGO_local,2021_Spring_business,2021_Spring_registered_lobbyists,2021_Spring_trade_unions,2021_Spring_others,Total_all_periods,End_term,Asterisk
Šarknickas,Robertas,3,0,0,0,0,0,0,0,,0
Saudargas	,Paulius,5,0,0,0,0,0,0,0,,0
Savickas,Lukas ,1,13,9,1,0,0,3,13,,1
Šedbaras,Stasys,7,0,0,0,0,0,0,0,,0
Sejonienė	,Jurgita,2,0,0,0,0,0,0,0,,0
Šimonytė,Ingrida,1,0,0,0,0,0,0,0,,0
Širinskienė ,Agnė ,3,0,0,0,0,0,0,0,,0
Šiugždinienė,Jurgita,3,0,0,0,0,0,0,0,,0
Skaistė,Gintarė,7,0,0,0,0,0,0,0,,0
Skardžius,Artūras,1,12,7,0,0,1,4,12,,0
Skritulskas,Mindaugas,1,0,0,0,0,0,0,0,,0
Skvernelis,Saulius,5,0,0,0,0,0,0,0,,0
Slušnys,Linas,1,20,11,4,0,0,5,20,Seimo narys nuo 2016-11-14 iki 2019-11-28,4
Starkevičius,Kazys,4,0,0,0,0,0,0,0,,0
Stončaitis,Algirdas,1,2,1,0,0,1,0,2,,0
Streikus,Zenonas ,1,5,0,2,0,0,3,5,,2
Strelčiūnas,Algis,4,0,0,0,0,0,0,0,,0
Surplys,Giedrius,1,23,3,16,0,0,4,23,,16
Sysas,Algirdas,1,0,0,0,0,0,0,0,,0
Tamašunienė	,Rita,1,0,0,0,0,0,0,0,,0
Targamadzė,Vilija,1,0,0,0,0,0,0,0,,0
Tomilinas,Tomas,1,0,0,0,0,0,0,0,,0
Tumėnas,Stasys,4,0,0,0,0,0,0,0,,0
Urbanavičius,Justinas,5,5,2,0,0,0,3,5,,0
Vaitkus,Romualdas ,1,4,3,1,0,0,0,4,,1
Valinskas,Arūnas,2,0,0,0,0,0,0,0,,0
Valkiūnas,Valdemaras,6,5,1,2,0,2,0,5,,2
Varkalys,Jonas,3,0,0,0,0,0,0,0,,0
Varžgalys,Juozas,2,0,0,0,0,0,0,0,,0
Veryga,Aurelijus,1,6,0,5,1,0,0,6,,5
Vilkauskas,Kęstutis,1,1,0,0,0,0,1,1,,0
Vinkus,Antanas,2,2,1,0,0,1,0,2,,0
Vyšniauskas,Andrius,1,0,0,0,0,0,0,0,,0
Žemaitaitis,Remigijus,4,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narė nuo 2018-03-10,N/A
Zingeris,Emanuelis,1,0,0,0,0,0,0,0,,0
Žukauskas,Artūras,5,0,0,0,0,0,0,0,,0
