ID,num,,,
Edita Bishop,6,,,
Edita Galiauskaitė,2,,,
Edita Janulevičiūtė,0,,,
Edita Janušienė,4,,,
Edita Karčiauskienė,0,,,
Edita Laurinavičienė,0,,,
Edita Meškauskienė,1,,,
Edita Palionytė,0,,,
Edmundas Jankūnas,0,,,
Edmundas Kiškis,3,,,
Edmundas Niparavičius,9,,,
Edmundas Sakalauskas,6,,,
Edmundas Smilga,0,,,
Edmundas Vaitekūnas,4,,,
Eduardas Jermolajevas,0,,,
Eduardas Pabarčius,0,,,
Edvardas Jurjonas,0,,,
Edvardas Makelis,0,,,
Edvardas Šileris,0,,,
Edvardas Žukauskas,0,,,
Egidija Konopliova-Budrikienė,3,,,
Egidijus Norkus,0,,,
Egidijus Sakalauskas,0,,,
Egidijus Varnas,0,,,
Egidijus Anulis,2,,,
Egidijus Bičkauskas,0,,,
Egidijus Gaidamavičius,0,,,
Egidijus Gailiūnas,0,,,
Egidijus Jurgelionis,0,,,
Egidijus Liudvinskas,0,,,
Egidijus Meilus,1,,,
Egidijus Papečkys,0,,,
Egidijus Purlys,26,,,
Egidijus Skrodenis,4,,,
Egidijus Verenius,18,,,
Egidijus Vilimas,0,,,
Egidijus Viskontas,1,,,
Eglė Bagdžiūnaitė,0,,,
Eglė Mirončikienė,0,,,
Eglė Bajorinienė,3,,,
Eglė Čaplikienė,39,,,
Eglė Gasiūnaitė,35,,,
Eglė Ivanauskaitė,2,,,
Eglė Kuklierienė,0,,,
Eglė Maziliauskienė,4,,,
Eglė Merkininkienė,8,,,
Eglė Navickaitė,0,,,
Eglė Neciunskienė,16,,,
Eglė Radišauskienė,85,,,
Eglė Radzevičienė,9,,,
Eglė Samoškaitė,0,,,
Eglė Stasiškienė,0,,,
Eglė Tamošiūnienė,0,,,
Eglė Vyšniauskaitė,3,,,
Eigirdas Sarkanas,15,,,
Eimantas Peičius,0,,,
Eivilė Žemaitytė,65,,,
Eldaras Puodžiūnas,0,,,
Elegijus Paulavičius,0,,,
Elena Auglienė,3,,,
Elena Golcienė,0,,,
Elena Masnevaitė,0,,,
Elena Mickevičienė,2,,,
Elena Narkevičiūtė,0,,,
Elena Pelakauskienė,4,,,
Elena Romanchik,0,,,
Elena Urbonienė,0,,,
Elia Daukševič,0,,,
Elijus Čivilis,10,,,
Elona Judickienė,0,,,
Elona Kazakevičienė,0,,,
Elonas Šatas,3,,,
Elvyda Lazauskaitė,0,,,
Elvyra Radavičienė,0,,,
Elžbieta Žurovska-Puodžiūnienė,0,,,
Emilija Alma Sakadolskis,0,,,
Emilija Banevičiūtė,0,,,
Emilija Jasaitienė,44,,,
Emilija Kilinskaitė,0,,,
Emilija Musteikytė,1,,,
Emilija Puidokaitė,0,,,
Emilija Valkauskaitė,0,,,
Emilis Ruželė,1,,,
Erika Varnienė,0,,,
Erika Baušytė,0,,,
Erika Latyšovič,7,,,
Erika Šutaitė,0,,,
Erika Tauraitė-Kava,4,,,
Erikas Bėrontas,0,,,
Erminas Ambrasas,0,,,
Ernesta Buckienė,0,,,
Ernesta Šneideraitytė,0,,,
Etela Karpickienė,0,,,
Eugenija Vagnerienė,0,,,
Eugenijus Bulavas,0,,,
Eugenijus Butkus,4,,,
Eugenijus Čerškus,0,,,
Eugenijus Jesinas,6,,,
Eugenijus Skrupskelis,0,,,
Eugenijus Šuliokas,2,,,
Eugenijus Valatka,2,,,
Evaldas Bacevičius,0,,,
Evaldas Čepulis,0,,,
Evaldas Damanauskas,0,,,
Evaldas Gustas,0,,,
Evaldas Marozas,0,,,
Evaldas Milkintis,0,,,
Evaldas Putrimas,11,,,
Evaldas Stankevičius,0,,,
Evaldas Valeiša,0,,,
Evelina Butkutė-Lazdauskienė,0,,,
Evelina Gudzinskaitė,30,,,
Evelina Karalevičienė,3,,,
Evelina Kueiros Casais,0,,,
Evelina Matulaitienė,12,,,
Evita Ieva Fedaravičiūtė,0,,,
Faina Kukliansky,1,,,
Fausta Roznytė,0,,,
Feliksas Jankevičius,0,,,
Feliksas Petrauskas,2,,,
Gabija Chromcovaitė,0,,,
Gabija Luneckaitė,0,,,
Gabriela Kuštan,4,,,
Gabrielė Andrašiūnienė,27,,,
